image_path,mask_path
labelbox2/images/000177.jpg,labelbox2/images/000177.npy
labelbox2/images/000111.jpg,labelbox2/images/000111.npy
labelbox2/images/cmml_96.jpg,labelbox2/images/cmml_96.npy
labelbox2/images/cmml_159.jpg,labelbox2/images/cmml_159.npy
labelbox2/images/cmml_63.jpg,labelbox2/images/cmml_63.npy
labelbox2/images/cmml_476.jpg,labelbox2/images/cmml_476.npy
labelbox2/images/000079.jpg,labelbox2/images/000079.npy
labelbox2/images/000231.jpg,labelbox2/images/000231.npy
labelbox2/images/000059.jpg,labelbox2/images/000059.npy
labelbox2/images/000074.jpg,labelbox2/images/000074.npy
labelbox2/images/000137.jpg,labelbox2/images/000137.npy
labelbox2/images/000212.jpg,labelbox2/images/000212.npy
labelbox2/images/cmml_218.jpg,labelbox2/images/cmml_218.npy
labelbox2/images/cmml_106.jpg,labelbox2/images/cmml_106.npy
labelbox2/images/cmml_167.jpg,labelbox2/images/cmml_167.npy
labelbox2/images/000070.jpg,labelbox2/images/000070.npy
labelbox2/images/cmml_3.jpg,labelbox2/images/cmml_3.npy
labelbox2/images/cmml_148.jpg,labelbox2/images/cmml_148.npy
labelbox2/images/000066.jpg,labelbox2/images/000066.npy
labelbox2/images/000039.jpg,labelbox2/images/000039.npy
labelbox2/images/cmml_472.jpg,labelbox2/images/cmml_472.npy
labelbox2/images/cmml_165.jpg,labelbox2/images/cmml_165.npy
labelbox2/images/cmml_52.jpg,labelbox2/images/cmml_52.npy
labelbox2/images/000013.jpg,labelbox2/images/000013.npy
labelbox2/images/cmml_193.jpg,labelbox2/images/cmml_193.npy
labelbox2/images/000196.jpg,labelbox2/images/000196.npy
labelbox2/images/cmml_190.jpg,labelbox2/images/cmml_190.npy
labelbox2/images/000036.jpg,labelbox2/images/000036.npy
labelbox2/images/000120.jpg,labelbox2/images/000120.npy
labelbox2/images/000148.jpg,labelbox2/images/000148.npy
labelbox2/images/cmml_266.jpg,labelbox2/images/cmml_266.npy
labelbox2/images/000029.jpg,labelbox2/images/000029.npy
labelbox2/images/000229.jpg,labelbox2/images/000229.npy
labelbox2/images/cmml_1.jpg,labelbox2/images/cmml_1.npy
labelbox2/images/cmml_406.jpg,labelbox2/images/cmml_406.npy
labelbox2/images/cmml_308.jpg,labelbox2/images/cmml_308.npy
labelbox2/images/000003.jpg,labelbox2/images/000003.npy
labelbox2/images/000202.jpg,labelbox2/images/000202.npy
labelbox2/images/cmml_498.jpg,labelbox2/images/cmml_498.npy
labelbox2/images/cmml_396.jpg,labelbox2/images/cmml_396.npy
labelbox2/images/cmml_228.jpg,labelbox2/images/cmml_228.npy
